"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10006,10056,
10006,10056,
10011,11869,
10011,10661,
10011,10661,
10033,14709,
10033,10299,
10039,11630,
10040,11630,
10056,12705,
10056,12771,
10056,10324,
10056,12705,
10056,12771,
10056,12785,
10056,10056,
10056,11299,
10056,12705,
10056,10006,
10056,10063,
10056,11299,
10056,11513,
10056,12705,
10063,10056,
10135,11433,
10135,11433,
10135,10397,
10135,11433,
10135,12882,
10135,10194,
10135,14893,
10135,14512,
10135,12882,
10135,10194,
10135,13930,
10135,14082,
10135,14761,
10135,10693,
10135,14112,
10135,11697,
10135,14986,
10135,13930,
10135,11433,
10135,11042,
10135,11433,
10135,11057,
10135,11057,
10135,12264,
10135,12339,
10135,13244,
10136,14842,
10136,12896,
10136,11298,
10136,11298,
10136,12266,
10136,11298,
10136,11298,
10136,12896,
10139,13970,
10139,14804,
10139,13970,
10139,15785,
10139,13806,
10139,13970,
10139,13970,
10139,13970,
10139,14485,
10139,14551,
10139,13942,
10140,14747,
10140,13891,
10140,14107,
10140,11540,
10140,13891,
10140,14107,
10140,14730,
10140,11540,
10140,14107,
10140,15051,
10140,14747,
10140,14747,
10140,12266,
10140,10279,
10140,14057,
10140,10397,
10140,12889,
10140,10423,
10140,10792,
10140,12478,
10140,11085,
10140,12266,
10140,11298,
10140,11292,
10140,12889,
10140,13796,
10140,10821,
10140,11259,
10140,12191,
10140,12892,
10140,14107,
10140,13232,
10140,14683,
10140,11292,
10140,12889,
10140,14679,
10140,11259,
10140,12191,
10140,14107,
10140,10423,
10140,13232,
10140,13198,
10140,12266,
10140,11298,
10140,11413,
10140,10140,
10140,11711,
10140,12266,
10140,11292,
10140,14869,
10140,12892,
10140,14771,
10140,12266,
10140,11292,
10140,14771,
10140,11298,
10140,14107,
10140,15376,
10140,13930,
10140,12266,
10140,11298,
10140,11292,
10140,11292,
10140,13244,
10140,11298,
10140,11413,
10140,11711,
10140,12896,
10140,13244,
10141,13487,
10141,13487,
10141,14120,
10141,11775,
10146,10397,
10146,10868,
10146,14730,
10146,13204,
10146,14027,
10146,13495,
10146,14730,
10146,14193,
10154,12478,
10154,11615,
10154,12250,
10154,12197,
10154,10721,
10154,13541,
10154,12478,
10154,12250,
10154,12197,
10154,15167,
10154,14307,
10155,12266,
10155,13290,
10155,11726,
10155,12266,
10155,13290,
10155,12896,
10155,15074,
10155,11423,
10155,11726,
10155,11298,
10155,11298,
10155,11298,
10157,12892,
10157,14771,
10157,14771,
10157,14893,
10157,15458,
10158,11764,
10158,10792,
10158,14122,
10158,14576,
10158,11973,
10158,15070,
10158,15304,
10158,11697,
10158,14635,
10158,13204,
10158,15304,
10158,13577,
10158,14635,
10158,13204,
10158,11697,
10158,14635,
10158,14027,
10158,15304,
10158,13577,
10158,11697,
10158,14635,
10158,13204,
10158,14027,
10165,10917,
10165,10299,
10165,10917,
10165,10299,
10170,10299,
10170,10243,
10170,12721,
10170,12772,
10170,13863,
10170,13934,
10170,10243,
10170,12721,
10170,12772,
10170,12866,
10170,13863,
10170,13934,
10170,12772,
10170,13934,
10170,10170,
10170,10243,
10170,12721,
10170,12772,
10170,12866,
10170,13714,
10170,13863,
10170,13934,
10170,10170,
10170,10243,
10170,10299,
10170,10299,
10170,14747,
10170,10299,
10170,10299,
10170,10299,
10170,14738,
10170,11445,
10170,10299,
10171,14711,
10171,11049,
10171,11540,
10171,10559,
10171,12878,
10171,13198,
10171,12191,
10172,12264,
10184,11630,
10184,12235,
10184,10783,
10184,12235,
10184,10754,
10184,14709,
10184,11630,
10184,10783,
10184,11630,
10184,12235,
10184,11630,
10185,13485,
10185,10397,
10185,10397,
10185,12266,
10185,14683,
10185,10747,
10185,10466,
10185,11995,
10185,10747,
10185,10781,
10185,10466,
10185,13303,
10185,14683,
10185,10185,
10185,11150,
10185,10747,
10185,13230,
10185,10466,
10185,13487,
10185,15153,
10185,10540,
10185,11982,
10185,11298,
10185,12266,
10185,11298,
10185,12264,
10194,12324,
10194,14771,
10194,12478,
10194,11193,
10194,10135,
10194,14747,
10194,12324,
10194,14107,
10194,14771,
10194,12478,
10194,14696,
10194,12896,
10194,13158,
10194,15370,
10194,14814,
10194,12896,
10194,15370,
10194,13158,
10194,15370,
10194,13891,
10194,12882,
10194,13495,
10194,11298,
10194,14524,
10194,10185,
10194,12266,
10194,14771,
10194,13930,
10194,12266,
10194,12896,
10194,10423,
10194,11540,
10194,11995,
10194,15304,
10194,14869,
10194,14679,
10194,13487,
10194,13495,
10194,15370,
10194,13198,
10194,14683,
10194,11540,
10194,14893,
10194,11292,
10194,13796,
10194,13244,
10194,12892,
10194,14831,
10194,10800,
10194,14747,
10194,12892,
10194,10299,
10198,12191,
10198,13061,
10198,15016,
10198,10325,
10204,12523,
10204,12523,
10204,15231,
10204,12523,
10208,10397,
10208,13203,
10208,14524,
10208,11973,
10208,11298,
10208,11057,
10208,11057,
10208,11057,
10216,11953,
10216,10397,
10216,10781,
10216,12945,
10221,11292,
10225,14709,
10225,10783,
10225,10396,
10225,14125,
10225,10754,
10225,14102,
10237,11445,
10241,10551,
10241,12855,
10241,15257,
10241,12709,
10241,10551,
10241,12709,
10241,10304,
10241,15257,
10241,10551,
10241,15257,
10241,10299,
10243,13863,
10243,10170,
10243,12721,
10243,12866,
10243,13863,
10243,10170,
10243,10170,
10243,14273,
10245,11336,
10245,12294,
10245,11511,
10245,11511,
10245,11336,
10245,12294,
10245,11511,
10245,12321,
10245,12321,
10245,12784,
10245,14119,
10245,12184,
10245,14273,
10245,10917,
10245,11445,
10245,10299,
10245,12720,
10245,14119,
10245,15448,
10245,15853,
10245,12755,
10245,10245,
10245,11336,
10245,12635,
10245,12638,
10245,12641,
10245,12720,
10245,12784,
10245,14119,
10245,14273,
10245,15448,
10245,15853,
10245,11555,
10245,11336,
10245,12755,
10245,10299,
10245,11336,
10245,10299,
10245,10551,
10245,10299,
10245,12321,
10245,10299,
10245,10917,
10245,11445,
10245,11445,
10247,11214,
10247,11630,
10247,11630,
10247,11630,
10247,11630,
10247,10783,
10247,10184,
10247,11214,
10247,10754,
10247,11630,
10247,10754,
10257,11433,
10257,11433,
10257,10397,
10257,11433,
10257,15096,
10257,14100,
10257,10529,
10257,14730,
10257,11618,
10257,12264,
10257,10397,
10257,13930,
10257,11433,
10257,13930,
10257,11057,
10257,11433,
10257,13930,
10257,14082,
10257,14112,
10257,11697,
10257,13204,
10257,13204,
10257,10821,
10257,13232,
10257,13204,
10257,15304,
10257,11292,
10257,10821,
10257,11697,
10257,13232,
10257,13204,
10257,13930,
10257,11042,
10257,11433,
10257,14100,
10257,13930,
10257,14100,
10257,11278,
10257,13296,
10257,13930,
10257,10529,
10257,13204,
10257,11618,
10257,13244,
10268,11612,
10268,13221,
10268,13930,
10272,11292,
10275,14747,
10275,12197,
10278,10056,
10278,10056,
10279,11540,
10279,12266,
